Epoch,Generator_Loss,Discriminator_Loss
1,1.5437102317810059,1.0579062700271606
2,3.1868202686309814,0.4372948408126831
3,2.6014482975006104,0.8904226422309875
4,0.736304521560669,1.9294308423995972
5,9.294906616210938,1.7299864292144775
6,0.12225855141878128,2.3745245933532715
7,0.1059110164642334,3.029836654663086
8,1.4582087993621826,0.8370204567909241
9,2.217724084854126,1.1743967533111572
10,2.8034820556640625,0.4844425916671753
11,1.5257340669631958,0.9463404417037964
12,8.695003509521484,0.8018656969070435
13,7.549127578735352,0.8233368396759033
14,4.166562080383301,0.10822045803070068
15,1.8561897277832031,0.8096685409545898
16,7.379537582397461,0.4236987233161926
17,7.119199752807617,0.4685679078102112
18,7.210150718688965,0.7286496758460999
19,8.532221794128418,0.36264199018478394
20,8.731693267822266,0.7936046123504639
21,3.6802754402160645,0.6295313835144043
22,4.625885009765625,0.1373225897550583
23,4.348968505859375,0.8778201937675476
24,0.48010265827178955,0.7910608649253845
25,3.819197654724121,0.3751316964626312
26,5.65206241607666,0.5260618925094604
27,1.1831612586975098,1.6532803773880005
28,0.25533008575439453,1.30954909324646
29,0.5485334992408752,0.9791743755340576
30,9.236027717590332,0.5965757966041565
31,5.042865753173828,0.04492288827896118
32,0.030404308810830116,0.867333173751831
33,5.334835052490234,0.34380239248275757
34,0.18380767107009888,0.9194751977920532
35,3.847320079803467,0.2731625735759735
36,5.399467468261719,0.05746271833777428
37,20.344575881958008,1.572826862335205
38,10.112397193908691,0.43328046798706055
39,0.28051429986953735,1.1886507272720337
40,2.824662923812866,0.3838176429271698
41,0.7269349098205566,0.46100836992263794
42,0.8304121494293213,1.5530803203582764
43,0.07475396245718002,1.6310129165649414
44,0.7804015874862671,0.8137410283088684
45,2.0033140182495117,0.391079306602478
46,5.041467189788818,1.0202596187591553
47,2.571359395980835,0.301664799451828
48,11.806303977966309,1.005667805671692
49,0.08214456588029861,1.1293871402740479
50,6.388679504394531,0.2240881621837616
