Epoch,Generator_Loss,Discriminator_Loss
1,3.431173324584961,0.8548102974891663
2,9.112811088562012,2.079256296157837
3,3.680241107940674,0.3615283966064453
4,2.621535301208496,0.44728100299835205
5,3.99603271484375,0.22088535130023956
6,3.6815123558044434,0.4278772473335266
7,6.371298313140869,1.0294592380523682
8,4.817784786224365,0.4189152419567108
9,9.12492847442627,0.7147093415260315
10,2.125408887863159,0.7049617171287537
11,2.830277681350708,0.4541946053504944
12,9.396598815917969,0.8975834250450134
13,4.536808967590332,0.40800726413726807
14,1.6702059507369995,0.45969414710998535
15,5.734433650970459,0.4236600399017334
16,2.7265775203704834,0.531029999256134
17,6.053254127502441,0.3998940587043762
18,2.1437368392944336,0.4940706491470337
19,3.797409772872925,0.27541404962539673
20,3.910356044769287,0.24918439984321594
21,4.558716297149658,0.25823378562927246
22,4.104879856109619,0.1485091894865036
23,6.213634490966797,0.4698050022125244
24,4.269079685211182,0.15294161438941956
25,5.499424457550049,0.17793571949005127
26,6.5991621017456055,0.20092956721782684
27,8.073823928833008,0.20603720843791962
28,4.670396327972412,0.06436637043952942
29,6.762477874755859,0.19848620891571045
30,6.6853742599487305,0.49762821197509766
31,4.210741996765137,0.18029852211475372
32,5.193579196929932,0.07672230154275894
33,4.988626956939697,0.08657336235046387
34,2.6316330432891846,0.5840571522712708
35,4.781091690063477,0.15166784822940826
36,6.2166290283203125,0.06357927620410919
37,5.391532897949219,0.058612216264009476
38,4.949917316436768,0.35763195157051086
39,6.6649298667907715,0.21976304054260254
40,4.272634029388428,0.1139705702662468
41,5.612032890319824,0.09507754445075989
42,5.773807525634766,0.04229898005723953
43,3.9859390258789062,0.19660401344299316
44,2.0808541774749756,0.25238102674484253
45,4.898717880249023,0.03574727848172188
46,2.9117496013641357,0.2518303394317627
47,5.805965900421143,0.09014365077018738
48,6.210384845733643,0.015052152797579765
49,5.353879451751709,0.07624570280313492
50,4.6425347328186035,0.06641760468482971
